	学号		语文	数学	英语	物理	化学	总分
	00000001	67	71	72	75	75	360
	00000002	72	73	78	73	74	370
	00000003	70	78	71	72	77	368
	00000004	78	78	77	80	73	386
	00000005	78	74	76	80	74	382
	00000006	80	72	77	75	77	381
	00000007	74	78	74	75	87	388
	00000008	73	75	71	80	68	367
	00000009	76	80	70	80	77	383
	00000010	75	75	72	77	78	377
	00000011	73	76	72	71	76	368
	00000012	88	77	78	66	78	387
	00000013	76	71	75	78	70	370
	00000014	79	73	73	80	80	385
	00000015	82	80	78	73	73	386
	00000016	76	85	75	75	79	390
	00000017	87	79	72	72	77	387
	00000018	78	80	80	75	76	389
	00000019	71	75	79	77	76	378
	00000020	78	74	87	73	78	390
	00000021	76	72	70	74	76	368
	00000022	74	80	76	76	77	383
	00000023	81	75	67	76	77	376
	00000024	72	77	76	79	76	380
	00000025	72	74	75	76	73	370
	00000026	80	75	69	77	76	377
	00000027	74	88	84	70	78	394
	00000028	84	81	77	75	89	406
	00000029	82	69	77	74	82	384
	00000030	76	76	75	68	73	368
	00000031	75	76	82	76	76	385
	00000032	76	78	75	73	77	379
	00000033	82	73	80	80	76	391
	00000034	81	71	80	84	80	396
	00000035	73	73	75	79	73	373
	00000036	75	77	78	80	78	388
	00000037	79	80	78	69	77	383
	00000038	77	81	76	77	73	384
	00000039	78	78	75	78	84	393
	00000040	83	76	78	78	76	391
	00000041	79	78	72	81	73	383
	00000042	72	75	75	75	74	371
	00000043	72	72	75	76	69	364
	00000044	76	70	78	73	74	371
	00000045	76	77	77	72	76	378
	00000046	84	81	76	71	74	386
	00000047	73	83	73	87	79	395
	00000048	69	80	72	75	73	369
	00000049	78	80	86	73	77	394
	00000050	90	77	65	75	76	383
	00000051	69	78	75	77	80	379
	00000052	70	79	82	77	73	381
	00000053	75	74	72	80	79	380
	00000054	76	72	78	76	75	377
	00000055	86	77	78	77	85	403
	00000056	75	71	85	77	80	388
	00000057	81	73	79	72	72	377
	00000058	79	72	79	77	77	384
	00000059	76	78	77	80	71	382
	00000060	75	78	82	74	82	391
	00000061	76	79	71	82	77	385
	00000062	81	79	79	70	85	394
	00000063	89	78	77	76	73	393
	00000064	70	71	77	79	71	368
	00000065	81	77	78	69	76	381
	00000066	76	75	74	78	84	387
	00000067	84	77	75	81	80	397
	00000068	78	79	75	72	81	385
	00000069	75	78	79	69	77	378
	00000070	77	78	79	80	70	384
	00000071	71	80	70	69	81	371
	00000072	76	73	78	79	78	384
	00000073	67	77	74	70	78	366
	00000074	76	77	74	78	78	383
	00000075	80	85	81	70	75	391
	00000076	73	84	72	81	78	388
	00000077	73	77	75	78	76	379
	00000078	75	82	75	79	77	388
	00000079	79	73	81	76	77	386
	00000080	73	84	74	78	73	382
	00000081	78	77	75	77	79	386
	00000082	75	74	83	78	77	387
	00000083	79	70	78	71	79	377
	00000084	76	76	77	70	80	379
	00000085	67	82	81	85	80	395
	00000086	81	65	78	75	78	377
	00000087	78	76	77	76	76	383
	00000088	73	79	80	83	73	388
	00000089	71	74	74	81	76	376
	00000090	73	64	76	78	82	373
	00000091	71	67	76	72	78	364
	00000092	77	80	77	74	85	393
	00000093	85	69	72	77	74	377
	00000094	77	79	73	74	76	379
	00000095	80	74	70	84	78	386
	00000096	70	74	71	77	77	369
	00000097	75	83	75	82	77	392
	00000098	75	77	76	81	80	389
	00000099	75	78	76	74	82	385
	00000100	79	82	80	74	79	394
	00000101	76	76	73	75	75	375
	00000102	73	80	79	75	76	383
	00000103	75	83	75	92	68	393
	00000104	70	79	73	72	79	373
	00000105	76	80	77	80	72	385
	00000106	76	84	79	81	75	395
	00000107	78	79	74	80	72	383
	00000108	69	81	83	75	76	384
	00000109	82	68	80	77	77	384
	00000110	81	76	82	77	72	388
	00000111	78	78	78	77	79	390
	00000112	76	72	77	78	79	382
	00000113	79	75	74	71	75	374
	00000114	77	78	77	78	77	387
	00000115	85	73	69	84	79	390
	00000116	76	78	72	74	78	378
	00000117	79	66	81	76	71	373
	00000118	75	79	79	77	82	392
	00000119	76	75	73	78	83	385
	00000120	73	78	74	71	71	367
	00000121	81	81	71	72	75	380
	00000122	75	77	75	78	78	383
	00000123	77	76	77	72	76	378
	00000124	79	81	78	79	72	389
	00000125	77	76	73	77	77	380
	00000126	78	76	80	78	82	394
	00000127	75	78	74	75	71	373
	00000128	78	72	76	76	78	380
	00000129	73	68	75	71	81	368
	00000130	74	80	75	74	72	375
	00000131	73	71	75	78	75	372
	00000132	76	75	75	80	69	375
	00000133	75	79	77	77	77	385
	00000134	79	77	67	71	80	374
	00000135	72	72	76	73	76	369
	00000136	73	80	77	74	83	387
	00000137	80	75	72	73	68	368
	00000138	75	80	75	70	73	373
	00000139	84	72	77	78	73	384
	00000140	70	79	78	76	78	381
	00000141	75	78	81	70	77	381
	00000142	72	79	77	70	73	371
	00000143	75	79	72	74	75	375
	00000144	81	77	82	77	72	389
	00000145	71	77	75	77	72	372
	00000146	82	79	76	78	85	400
	00000147	74	77	71	76	76	374
	00000148	79	86	72	69	78	384
	00000149	80	81	73	79	76	389
	00000150	86	80	73	73	75	387
	00000151	77	75	81	81	79	393
	00000152	75	73	72	82	76	378
	00000153	72	74	89	81	80	396
	00000154	83	73	76	77	76	385
	00000155	80	79	79	77	71	386
	00000156	86	80	76	78	76	396
	00000157	77	79	76	78	78	388
	00000158	74	70	80	81	76	381
	00000159	72	78	80	77	72	379
	00000160	78	71	77	72	87	385
	00000161	74	73	75	72	75	369
	00000162	79	74	74	80	89	396
	00000163	75	79	76	77	83	390
	00000164	80	74	73	79	80	386
	00000165	77	77	76	78	77	385
	00000166	76	71	84	70	81	382
	00000167	75	78	85	70	74	382
	00000168	79	80	75	84	76	394
	00000169	83	73	80	63	76	375
	00000170	74	72	81	71	72	370
	00000171	76	79	75	75	76	381
	00000172	76	67	74	77	82	376
	00000173	75	78	73	72	75	373
	00000174	74	91	75	81	70	391
	00000175	89	77	73	76	73	388
	00000176	77	73	79	80	75	384
	00000177	78	75	82	80	74	389
	00000178	67	77	84	69	75	372
	00000179	79	67	71	79	72	368
	00000180	75	72	73	73	76	369
	00000181	72	80	75	77	78	382
	00000182	79	78	73	85	80	395
	00000183	80	77	73	75	72	377
	00000184	65	80	74	74	74	367
	00000185	67	73	74	78	78	370
	00000186	71	75	79	79	75	379
	00000187	79	76	77	81	77	390
	00000188	69	81	80	83	76	389
	00000189	77	75	73	76	77	378
	00000190	73	72	78	84	76	383
	00000191	76	79	77	76	81	389
	00000192	76	70	75	76	82	379
	00000193	81	79	73	83	77	393
	00000194	76	84	69	73	77	379
	00000195	76	77	75	76	73	377
	00000196	77	74	74	76	77	378
	00000197	82	74	72	72	79	379
	00000198	76	74	70	83	77	380
	00000199	68	77	79	87	75	386
	00000200	78	77	65	80	78	378
	00000201	77	67	73	79	68	364
	00000202	87	78	76	79	79	399
	00000203	76	74	74	79	77	380
	00000204	71	73	83	72	77	376
	00000205	77	78	75	77	78	385
	00000206	76	82	80	69	77	384
	00000207	77	80	81	74	72	384
	00000208	85	77	72	77	74	385
	00000209	76	72	74	72	79	373
	00000210	77	74	72	67	70	360
	00000211	73	73	67	84	74	371
	00000212	88	72	79	71	75	385
	00000213	77	74	77	75	74	377
	00000214	79	75	77	77	77	385
	00000215	80	78	85	77	69	389
