	学号		语文	数学	英语	物理	化学	总分
	00000001	78	78	84	79	77	396
	00000002	77	82	78	80	76	393
	00000003	78	78	79	78	74	387
	00000004	77	80	76	75	80	388
	00000005	84	79	79	81	78	401
	00000006	72	78	70	75	80	375
	00000007	82	72	76	76	76	382
	00000008	79	79	72	70	80	380
	00000009	76	77	76	78	74	381
	00000010	75	78	75	78	83	389
	00000011	76	71	80	75	78	380
	00000012	76	78	76	82	76	388
	00000013	66	78	77	75	78	374
	00000014	77	72	68	75	72	364
	00000015	71	79	76	75	70	371
	00000016	75	87	70	76	80	388
	00000017	80	75	69	78	78	380
	00000018	84	70	76	75	78	383
	00000019	77	77	74	80	75	383
	00000020	78	82	89	80	74	403
	00000021	65	73	75	76	83	372
	00000022	83	86	74	74	82	399
	00000023	75	77	84	81	79	396
	00000024	76	72	76	78	76	378
	00000025	77	78	79	75	85	394
	00000026	77	79	81	76	68	381
	00000027	85	79	76	74	73	387
	00000028	74	76	75	81	77	383
	00000029	69	76	68	73	84	370
	00000030	78	82	81	79	69	389
	00000031	75	68	74	81	77	375
	00000032	72	77	74	79	80	382
	00000033	77	73	83	81	79	393
	00000034	77	80	75	80	74	386
	00000035	77	75	71	73	74	370
	00000036	75	68	74	70	79	366
	00000037	74	72	80	83	83	392
	00000038	76	75	77	70	72	370
	00000039	78	75	81	75	82	391
	00000040	76	76	75	71	76	374
	00000041	77	69	78	78	76	378
	00000042	83	73	75	78	78	387
	00000043	78	75	87	84	77	401
	00000044	69	73	74	74	78	368
	00000045	80	74	71	80	75	380
	00000046	78	72	75	71	72	368
	00000047	76	69	76	74	76	371
	00000048	74	74	72	75	77	372
	00000049	66	73	80	72	77	368
	00000050	76	77	73	77	76	379
	00000051	73	79	73	72	81	378
	00000052	88	75	74	80	75	392
	00000053	80	76	72	80	77	385
	00000054	75	76	79	68	76	374
	00000055	75	78	77	77	75	382
	00000056	80	72	75	78	72	377
	00000057	77	79	74	71	83	384
	00000058	80	77	79	79	73	388
	00000059	79	71	74	74	84	382
	00000060	78	67	77	79	76	377
	00000061	81	76	77	78	82	394
	00000062	70	76	74	77	78	375
	00000063	80	75	79	75	84	393
	00000064	85	75	81	80	78	399
	00000065	75	76	73	76	82	382
	00000066	64	69	80	76	71	360
	00000067	74	81	72	74	77	378
	00000068	77	81	76	79	81	394
	00000069	75	77	78	76	77	383
	00000070	68	85	82	77	76	388
	00000071	74	67	82	76	75	374
	00000072	74	69	78	78	76	375
	00000073	85	75	70	79	77	386
	00000074	69	79	72	75	77	372
	00000075	77	71	78	79	77	382
	00000076	73	77	76	74	77	377
	00000077	76	80	75	70	67	368
	00000078	65	73	78	76	66	358
	00000079	75	76	76	83	78	388
	00000080	69	77	76	76	75	373
	00000081	73	81	77	69	77	377
	00000082	80	79	86	77	82	404
	00000083	69	84	76	78	81	388
	00000084	75	76	75	70	77	373
	00000085	75	77	76	76	86	390
	00000086	79	69	75	71	77	371
	00000087	73	75	78	72	68	366
	00000088	75	77	80	73	82	387
	00000089	77	76	84	69	75	381
	00000090	70	80	79	76	76	381
	00000091	81	81	81	76	85	404
	00000092	79	75	77	76	79	386
	00000093	81	74	76	76	77	384
	00000094	81	79	76	78	81	395
	00000095	79	71	71	78	81	380
	00000096	79	81	75	79	77	391
	00000097	79	75	81	77	83	395
	00000098	77	80	80	73	70	380
	00000099	85	76	67	78	75	381
	00000100	78	76	81	72	70	377
	00000101	70	66	77	72	75	360
	00000102	79	78	76	85	75	393
	00000103	73	78	76	75	71	373
	00000104	80	80	75	79	72	386
	00000105	79	75	73	82	77	386
	00000106	74	74	76	69	83	376
	00000107	67	87	75	73	78	380
	00000108	74	75	80	79	72	380
	00000109	78	80	79	87	75	399
	00000110	80	80	74	66	78	378
	00000111	74	74	66	75	75	364
	00000112	78	81	79	74	76	388
	00000113	75	78	75	71	77	376
	00000114	74	78	81	71	78	382
	00000115	75	78	74	77	82	386
	00000116	71	71	83	76	73	374
	00000117	86	72	79	79	75	391
	00000118	75	71	73	77	76	372
	00000119	80	72	76	76	72	376
	00000120	77	81	78	76	77	389
	00000121	75	73	77	80	77	382
	00000122	81	72	78	79	75	385
	00000123	73	74	80	80	79	386
	00000124	80	76	76	76	78	386
	00000125	72	64	81	83	80	380
	00000126	78	76	80	80	77	391
	00000127	76	73	80	76	78	383
	00000128	75	72	77	73	79	376
	00000129	70	76	78	74	75	373
	00000130	81	80	82	75	76	394
	00000131	78	76	78	75	72	379
	00000132	73	78	78	82	75	386
	00000133	76	76	76	74	76	378
	00000134	80	77	73	65	71	366
	00000135	78	74	69	75	80	376
	00000136	75	75	80	76	76	382
	00000137	78	73	69	80	71	371
	00000138	73	81	79	76	77	386
	00000139	78	77	76	76	73	380
	00000140	85	76	72	79	74	386
	00000141	75	78	76	79	75	383
	00000142	84	79	80	72	73	388
	00000143	77	70	69	80	73	369
	00000144	75	75	73	78	76	377
	00000145	75	77	70	80	80	382
	00000146	77	72	76	82	80	387
	00000147	75	82	66	75	72	370
	00000148	74	80	76	76	83	389
	00000149	76	71	74	74	81	376
	00000150	74	76	86	78	84	398
	00000151	76	76	81	76	72	381
	00000152	73	78	82	73	82	388
	00000153	75	74	79	76	76	380
	00000154	74	76	77	76	80	383
	00000155	68	78	78	76	77	377
	00000156	87	80	82	77	80	406
	00000157	82	75	77	74	69	377
	00000158	77	72	77	76	78	380
	00000159	76	78	84	78	77	393
	00000160	78	72	78	79	68	375
	00000161	79	83	71	78	76	387
	00000162	85	86	76	76	73	396
	00000163	76	77	80	72	77	382
	00000164	77	77	69	66	75	364
	00000165	80	72	76	74	72	374
	00000166	76	81	73	71	71	372
	00000167	77	80	74	79	76	386
	00000168	77	78	73	74	73	375
	00000169	74	73	74	71	79	371
	00000170	75	72	76	79	81	383
	00000171	75	69	80	74	79	377
	00000172	79	78	75	76	79	387
	00000173	74	64	73	76	77	364
	00000174	76	79	73	67	74	369
	00000175	77	67	77	81	76	378
	00000176	73	80	77	82	82	394
	00000177	71	74	71	79	79	374
	00000178	77	76	73	76	78	380
	00000179	79	79	73	75	69	375
	00000180	77	72	75	76	84	384
	00000181	75	75	78	79	68	375
	00000182	71	75	82	83	75	386
	00000183	79	81	74	80	75	389
	00000184	70	77	83	82	73	385
	00000185	75	77	83	76	76	387
	00000186	76	78	76	78	80	388
	00000187	75	80	77	75	78	385
	00000188	82	79	80	73	76	390
	00000189	77	76	78	80	74	385
	00000190	81	77	76	81	78	393
	00000191	83	86	76	72	73	390
	00000192	77	77	76	67	77	374
	00000193	73	73	82	80	74	382
	00000194	76	76	74	83	75	384
	00000195	78	75	76	77	75	381
	00000196	75	77	74	80	84	390
	00000197	75	74	80	75	75	379
	00000198	73	78	77	71	75	374
	00000199	80	78	76	67	75	376
	00000200	82	71	75	76	81	385
	00000201	71	77	67	76	84	375
	00000202	70	75	80	77	75	377
	00000203	76	65	72	79	69	361
	00000204	80	76	74	74	80	384
	00000205	82	75	76	79	75	387
	00000206	81	78	79	82	80	400
	00000207	74	75	74	68	79	370
	00000208	76	80	69	74	77	376
	00000209	75	76	74	73	70	368
	00000210	79	76	81	72	79	387
	00000211	77	76	80	77	79	389
	00000212	78	74	78	65	80	375
	00000213	86	78	79	79	81	403
	00000214	76	73	84	73	79	385
	00000215	74	76	81	76	76	383
	00000216	82	71	86	74	76	389
	00000217	81	80	75	77	77	390
	00000218	76	79	77	76	75	383
	00000219	76	81	73	74	79	383
	00000220	73	71	77	78	80	379
	00000221	73	83	80	80	76	392
	00000222	79	76	71	78	77	381
	00000223	80	75	73	75	73	376
	00000224	81	77	79	78	77	392
	00000225	84	88	70	80	74	396
	00000226	75	82	77	75	76	385
	00000227	75	76	77	71	80	379
	00000228	78	74	76	76	79	383
	00000229	77	77	72	72	78	376
	00000230	75	73	80	65	75	368
	00000231	77	75	73	77	81	383
	00000232	76	69	79	69	74	367
	00000233	75	82	85	83	75	400
	00000234	79	74	84	81	76	394
	00000235	83	78	78	74	78	391
	00000236	79	79	73	81	76	388
	00000237	71	79	80	78	77	385
	00000238	71	73	68	76	72	360
	00000239	80	75	78	78	77	388
	00000240	75	69	83	78	72	377
	00000241	72	77	73	79	72	373
	00000242	81	77	71	76	74	379
	00000243	78	64	78	72	75	367
	00000244	74	75	75	78	73	375
	00000245	79	75	81	73	78	386
	00000246	76	76	79	74	78	383
	00000247	82	73	69	78	77	379
	00000248	77	80	79	89	77	402
	00000249	81	88	76	81	77	403
	00000250	82	75	77	83	80	397
	00000251	85	78	73	72	81	389
	00000252	76	70	79	76	73	374
	00000253	68	74	78	81	72	373
	00000254	71	79	77	76	78	381
	00000255	79	78	75	76	78	386
	00000256	80	69	80	81	71	381
	00000257	81	73	73	77	76	380
	00000258	77	82	75	75	78	387
	00000259	73	76	68	74	80	371
	00000260	77	73	76	79	76	381
	00000261	79	82	73	76	72	382
	00000262	77	78	76	81	70	382
	00000263	82	76	78	78	85	399
	00000264	75	81	68	76	78	378
	00000265	66	79	81	72	73	371
	00000266	72	81	81	77	76	387
	00000267	78	77	77	79	75	386
	00000268	74	76	81	77	80	388
	00000269	73	78	74	84	78	387
	00000270	81	72	75	76	83	387
	00000271	77	72	76	77	75	377
	00000272	85	74	77	77	75	388
	00000273	81	81	76	76	72	386
	00000274	76	81	76	73	73	379
	00000275	72	76	72	69	86	375
	00000276	75	76	77	79	78	385
	00000277	66	76	83	73	81	379
	00000278	67	80	73	83	79	382
	00000279	75	69	79	77	77	377
	00000280	76	74	75	74	71	370
	00000281	75	71	75	76	73	370
	00000282	80	76	78	70	79	383
	00000283	73	65	78	70	73	359
	00000284	75	77	70	79	82	383
	00000285	77	83	76	80	79	395
	00000286	80	78	76	70	80	384
	00000287	75	78	72	78	75	378
	00000288	72	93	81	71	78	395
	00000289	77	79	87	80	78	401
	00000290	79	81	78	75	72	385
	00000291	75	82	81	79	79	396
	00000292	81	78	76	78	84	397
	00000293	71	71	80	82	76	380
	00000294	75	76	75	74	76	376
	00000295	80	73	74	80	71	378
	00000296	79	68	70	73	84	374
	00000297	74	78	79	73	71	375
	00000298	80	73	75	78	82	388
	00000299	73	73	75	86	76	383
	00000300	69	72	74	80	77	372
	00000301	76	77	76	76	82	387
	00000302	81	72	76	78	77	384
	00000303	78	68	75	69	82	372
	00000304	74	78	78	70	79	379
	00000305	75	76	74	75	79	379
	00000306	74	77	82	78	84	395
	00000307	74	77	73	80	78	382
	00000308	78	79	75	70	79	381
	00000309	77	74	76	80	74	381
	00000310	82	85	71	79	82	399
	00000311	77	76	75	77	80	385
	00000312	79	75	78	73	81	386
	00000313	77	77	82	81	80	397
	00000314	76	73	77	82	79	387
	00000315	79	74	74	75	78	380
	00000316	81	82	66	79	79	387
	00000317	70	74	79	68	76	367
	00000318	76	72	73	67	72	360
	00000319	78	78	80	76	78	390
	00000320	81	82	83	78	81	405
	00000321	82	77	76	78	77	390
	00000322	76	75	77	78	78	384
	00000323	79	76	78	77	75	385
	00000324	80	70	72	80	83	385
	00000325	76	82	79	79	80	396
	00000326	78	73	74	82	80	387
	00000327	78	86	79	75	81	399
	00000328	79	78	80	72	81	390
	00000329	84	73	71	71	77	376
	00000330	65	76	82	83	82	388
	00000331	77	77	81	80	76	391
	00000332	73	77	73	72	74	369
	00000333	78	78	79	80	74	389
	00000334	78	72	73	82	73	378
	00000335	80	76	78	75	76	385
	00000336	75	72	79	80	75	381
	00000337	75	75	73	82	81	386
	00000338	80	73	78	82	77	390
	00000339	78	82	72	78	78	388
	00000340	76	75	76	68	78	373
	00000341	83	77	74	76	78	388
	00000342	75	80	78	78	77	388
	00000343	82	76	78	64	75	375
	00000344	77	81	69	75	79	381
	00000345	77	73	69	89	82	390
	00000346	75	84	79	79	74	391
	00000347	79	76	73	73	82	383
	00000348	76	69	82	76	77	380
	00000349	76	77	77	72	77	379
	00000350	79	78	87	74	82	400
	00000351	78	79	77	75	74	383
	00000352	85	85	76	74	71	391
	00000353	76	75	76	74	75	376
	00000354	76	75	74	76	83	384
	00000355	78	77	76	75	78	384
	00000356	77	74	75	76	90	392
	00000357	80	79	79	76	73	387
	00000358	74	82	77	72	66	371
	00000359	78	77	74	76	80	385
	00000360	76	77	78	69	74	374
	00000361	73	77	78	79	70	377
	00000362	69	80	77	74	86	386
	00000363	75	78	75	88	74	390
	00000364	77	76	76	75	73	377
	00000365	76	80	71	73	76	376
	00000366	78	73	77	73	83	384
	00000367	77	76	73	79	77	382
	00000368	77	76	80	74	76	383
	00000369	76	81	77	82	72	388
	00000370	82	77	72	80	79	390
	00000371	80	82	80	71	68	381
	00000372	76	80	78	76	79	389
	00000373	82	80	78	74	82	396
	00000374	76	76	77	76	80	385
	00000375	78	76	77	74	76	381
	00000376	75	74	83	70	76	378
	00000377	78	76	81	74	75	384
	00000378	65	82	72	73	78	370
	00000379	76	78	73	79	74	380
	00000380	76	78	75	79	73	381
	00000381	77	76	76	76	77	382
	00000382	75	81	76	79	71	382
	00000383	77	76	76	82	73	384
	00000384	76	77	74	77	79	383
	00000385	75	81	67	73	75	371
	00000386	75	85	70	79	73	382
	00000387	69	80	78	75	77	379
	00000388	77	74	76	75	81	383
	00000389	81	73	72	80	78	384
	00000390	74	75	77	73	76	375
	00000391	67	76	75	72	79	369
	00000392	72	76	77	75	77	377
	00000393	75	76	84	77	79	391
	00000394	80	74	79	84	73	390
	00000395	80	79	82	75	75	391
	00000396	82	79	71	74	75	381
	00000397	77	75	75	79	77	383
	00000398	79	74	82	77	77	389
	00000399	79	75	78	76	79	387
	00000400	81	73	75	76	79	384
	00000401	76	77	78	82	79	392
	00000402	80	79	81	79	78	397
	00000403	77	77	79	84	74	391
	00000404	72	77	76	76	70	371
	00000405	72	78	75	68	76	369
	00000406	78	78	77	76	83	392
	00000407	84	73	75	76	80	388
	00000408	80	87	79	77	81	404
	00000409	77	74	78	77	75	381
	00000410	78	79	77	74	73	381
	00000411	80	84	85	72	80	401
	00000412	71	84	67	77	77	376
	00000413	79	72	75	79	80	385
	00000414	81	81	68	74	72	376
