	学号		语文	数学	英语	物理	化学	总分
	00000001	85	74	75	73	78	385
	00000002	75	77	80	77	69	378
	00000003	74	79	74	79	79	385
	00000004	77	74	78	78	69	376
	00000005	78	76	71	73	80	378
	00000006	75	76	77	78	78	384
	00000007	79	83	79	75	76	392
	00000008	74	65	80	75	76	370
	00000009	72	77	77	66	76	368
	00000010	71	75	79	75	71	371
	00000011	78	69	75	72	71	365
	00000012	80	65	76	78	77	376
	00000013	77	78	74	73	76	378
	00000014	80	79	74	72	76	381
	00000015	78	83	79	75	77	392
	00000016	77	80	77	70	81	385
	00000017	73	73	73	85	78	382
	00000018	78	78	81	78	74	389
	00000019	81	77	79	80	69	386
	00000020	78	77	81	76	75	387
	00000021	76	78	73	79	77	383
	00000022	82	70	77	79	81	389
	00000023	75	82	81	78	70	386
	00000024	77	77	78	78	79	389
	00000025	84	76	83	76	80	399
	00000026	72	72	75	75	76	370
	00000027	81	78	74	80	77	390
	00000028	77	80	74	80	71	382
	00000029	76	73	76	66	69	360
	00000030	78	84	68	81	77	388
	00000031	75	73	78	77	75	378
	00000032	77	71	80	75	77	380
	00000033	76	80	76	78	78	388
	00000034	71	75	76	81	77	380
	00000035	74	84	71	77	86	392
	00000036	76	76	71	76	74	373
	00000037	70	65	82	78	79	374
	00000038	73	75	75	73	72	368
	00000039	79	75	78	78	76	386
	00000040	80	77	80	77	72	386
	00000041	80	78	77	69	77	381
	00000042	77	76	74	76	78	381
	00000043	74	76	73	78	76	377
	00000044	71	76	68	81	74	370
	00000045	76	68	74	71	76	365
	00000046	79	64	73	78	71	365
	00000047	78	74	77	82	70	381
	00000048	80	72	73	79	81	385
	00000049	82	79	74	76	77	388
	00000050	82	78	74	74	76	384
	00000051	70	83	74	77	74	378
	00000052	73	72	75	83	71	374
	00000053	79	78	76	74	83	390
	00000054	75	81	78	73	79	386
	00000055	81	78	69	76	71	375
	00000056	76	75	80	81	78	390
	00000057	71	77	75	76	81	380
	00000058	78	78	77	77	76	386
	00000059	76	74	78	87	76	391
	00000060	76	76	78	79	75	384
	00000061	75	76	73	73	71	368
	00000062	76	74	77	75	72	374
	00000063	73	89	72	79	73	386
	00000064	78	75	79	79	76	387
	00000065	79	89	78	73	81	400
	00000066	70	73	75	88	68	374
	00000067	78	71	72	77	75	373
	00000068	77	74	76	80	76	383
	00000069	70	73	76	84	73	376
	00000070	74	71	80	74	78	377
	00000071	90	76	68	77	78	389
	00000072	72	86	78	82	70	388
	00000073	75	70	86	85	78	394
	00000074	79	77	76	70	77	379
	00000075	76	78	79	76	82	391
	00000076	76	81	72	77	70	376
	00000077	78	77	78	76	69	378
	00000078	78	72	79	74	77	380
	00000079	77	77	75	80	74	383
	00000080	80	81	82	71	78	392
	00000081	77	74	82	79	77	389
	00000082	77	87	81	70	72	387
	00000083	80	71	76	76	74	377
	00000084	83	75	79	80	81	398
	00000085	83	88	82	77	78	408
	00000086	71	80	77	76	79	383
	00000087	62	69	72	78	75	356
	00000088	77	81	78	75	75	386
	00000089	71	77	76	76	72	372
	00000090	72	78	78	77	70	375
	00000091	78	74	80	65	78	375
	00000092	78	75	76	76	73	378
	00000093	76	83	77	76	76	388
	00000094	74	79	77	80	76	386
	00000095	80	81	78	76	85	400
	00000096	75	71	77	76	71	370
	00000097	81	75	80	72	73	381
	00000098	77	80	75	81	78	391
	00000099	79	74	78	76	70	377
	00000100	75	74	71	80	76	376
	00000101	78	74	77	75	72	376
	00000102	74	73	78	79	74	378
	00000103	80	80	71	75	79	385
	00000104	80	78	72	79	78	387
	00000105	68	85	80	80	79	392
	00000106	75	74	80	76	70	375
	00000107	86	74	79	75	79	393
	00000108	78	82	73	77	73	383
	00000109	77	77	81	65	81	381
	00000110	57	82	80	86	75	380
	00000111	78	81	77	71	79	386
	00000112	75	87	85	73	80	400
	00000113	77	73	81	79	78	388
	00000114	83	77	79	70	76	385
	00000115	86	77	81	74	75	393
	00000116	71	76	80	71	75	373
	00000117	74	78	76	76	81	385
	00000118	72	77	72	78	77	376
	00000119	76	77	76	78	79	386
	00000120	77	80	76	76	68	377
	00000121	78	74	74	73	68	367
	00000122	81	76	81	79	85	402
	00000123	80	77	73	77	75	382
	00000124	79	71	75	81	79	385
	00000125	75	75	77	75	79	381
	00000126	78	78	76	77	79	388
	00000127	72	71	77	75	76	371
	00000128	73	74	77	75	77	376
	00000129	76	80	74	81	74	385
	00000130	74	75	70	75	77	371
	00000131	77	71	75	82	83	388
	00000132	75	76	73	75	77	376
	00000133	83	77	75	76	75	386
	00000134	75	76	71	76	78	376
	00000135	77	75	70	63	80	365
	00000136	73	82	75	77	80	387
	00000137	76	75	78	74	74	377
	00000138	80	73	82	84	77	396
	00000139	77	71	64	76	73	361
	00000140	74	81	75	74	73	377
	00000141	75	76	81	78	81	391
	00000142	77	73	75	82	88	395
	00000143	76	75	76	74	75	376
	00000144	81	88	79	74	76	398
	00000145	73	77	73	77	85	385
	00000146	76	74	80	78	78	386
	00000147	83	83	74	75	79	394
	00000148	76	74	75	77	76	378
	00000149	73	78	69	76	76	372
	00000150	75	73	81	74	81	384
	00000151	77	73	83	77	75	385
	00000152	73	76	83	78	75	385
	00000153	80	81	78	77	78	394
	00000154	78	74	83	79	76	390
	00000155	75	78	79	79	75	386
	00000156	77	78	77	76	76	384
	00000157	82	71	79	72	81	385
	00000158	77	79	78	77	73	384
	00000159	77	76	81	82	81	397
	00000160	78	76	84	72	73	383
	00000161	75	78	81	74	73	381
	00000162	74	77	75	80	69	375
	00000163	68	75	75	77	82	377
	00000164	72	68	77	82	69	368
	00000165	76	79	78	81	78	392
	00000166	76	80	79	79	76	390
	00000167	77	70	73	77	80	377
	00000168	79	75	81	74	76	385
	00000169	77	73	77	75	76	378
	00000170	75	68	74	77	75	369
	00000171	70	72	75	83	70	370
	00000172	74	84	76	74	75	383
	00000173	76	80	76	86	63	381
	00000174	82	68	84	71	75	380
	00000175	77	75	75	69	76	372
	00000176	71	71	72	83	84	381
	00000177	79	73	75	77	75	379
	00000178	74	79	78	78	75	384
	00000179	77	76	80	79	78	390
	00000180	77	82	76	76	69	380
	00000181	77	73	76	74	72	372
	00000182	80	78	78	73	74	383
	00000183	75	83	77	82	79	396
	00000184	84	76	76	77	77	390
	00000185	78	76	77	78	75	384
	00000186	76	74	74	77	82	383
	00000187	69	77	78	79	77	380
	00000188	79	76	75	80	78	388
	00000189	76	73	76	83	66	374
	00000190	72	75	74	78	78	377
	00000191	79	81	79	79	71	389
	00000192	71	74	78	78	76	377
	00000193	85	71	74	75	75	380
	00000194	78	72	77	76	78	381
	00000195	76	76	74	78	77	381
	00000196	75	72	75	83	68	373
	00000197	74	77	71	76	67	365
	00000198	70	76	76	78	76	376
	00000199	71	77	78	77	75	378
	00000200	87	74	79	76	75	391
	00000201	79	78	76	73	75	381
	00000202	74	80	76	81	77	388
	00000203	76	72	73	75	73	369
	00000204	81	76	80	74	78	389
	00000205	78	75	80	80	76	389
	00000206	75	75	68	78	75	371
	00000207	75	68	80	76	68	367
	00000208	77	79	78	76	75	385
	00000209	72	78	78	75	82	385
	00000210	73	77	77	70	87	384
	00000211	71	83	72	78	74	378
	00000212	78	75	73	81	80	387
	00000213	79	79	79	75	73	385
	00000214	76	86	71	70	74	377
	00000215	85	75	72	71	75	378
	00000216	70	84	82	78	77	391
	00000217	76	74	69	73	71	363
	00000218	81	78	80	77	75	391
	00000219	72	79	66	73	85	375
	00000220	76	71	71	79	76	373
	00000221	72	75	76	72	78	373
	00000222	80	74	74	76	75	379
	00000223	76	76	76	76	72	376
	00000224	77	81	75	79	76	388
	00000225	77	78	82	76	76	389
