	学号		语文	数学	英语	物理	化学	总分
	00000001	77	76	80	71	76	380
	00000002	76	75	79	78	72	380
	00000003	69	77	83	79	77	385
	00000004	81	76	73	75	81	386
	00000005	73	71	81	78	76	379
	00000006	77	68	76	77	79	377
	00000007	76	76	70	77	78	377
	00000008	74	77	74	74	75	374
	00000009	80	74	81	83	79	397
	00000010	76	75	69	81	84	385
	00000011	80	71	74	72	79	376
	00000012	79	75	72	82	76	384
	00000013	77	77	74	71	75	374
	00000014	77	87	76	76	75	391
	00000015	80	74	74	75	73	376
	00000016	76	71	75	75	76	373
	00000017	78	79	75	69	80	381
	00000018	84	79	83	77	71	394
	00000019	73	82	81	76	81	393
	00000020	73	73	59	71	76	352
	00000021	81	73	78	72	84	388
	00000022	76	78	76	87	72	389
	00000023	76	80	75	83	78	392
	00000024	78	79	77	81	78	393
	00000025	72	79	76	72	75	374
	00000026	85	75	81	76	81	398
	00000027	75	76	75	81	81	388
	00000028	76	73	70	78	78	375
	00000029	73	76	73	78	74	374
	00000030	77	74	76	76	68	371
	00000031	75	75	80	73	74	377
	00000032	75	73	79	75	82	384
	00000033	77	78	76	82	81	394
	00000034	75	77	75	75	74	376
	00000035	73	81	76	77	75	382
	00000036	85	76	81	76	80	398
	00000037	80	78	76	72	79	385
	00000038	76	80	74	81	77	388
	00000039	80	73	79	78	76	386
	00000040	74	73	75	79	84	385
	00000041	75	77	74	77	81	384
	00000042	68	68	77	76	78	367
	00000043	88	73	74	78	82	395
	00000044	79	79	78	78	80	394
	00000045	64	80	69	76	77	366
	00000046	77	78	83	79	78	395
	00000047	73	83	79	86	74	395
	00000048	76	80	77	76	80	389
	00000049	76	77	76	74	74	377
	00000050	75	77	75	86	73	386
	00000051	75	75	75	80	78	383
	00000052	78	80	84	73	70	385
	00000053	75	79	77	84	71	386
	00000054	78	75	76	74	77	380
	00000055	72	81	89	77	78	397
	00000056	81	88	78	73	81	401
	00000057	76	74	66	75	83	374
	00000058	76	77	80	78	78	389
	00000059	74	77	79	81	83	394
	00000060	78	81	83	73	70	385
	00000061	81	77	80	75	78	391
	00000062	79	69	75	72	75	370
	00000063	78	76	73	77	80	384
	00000064	77	78	78	77	72	382
	00000065	82	74	75	76	74	381
	00000066	78	78	71	78	76	381
	00000067	76	74	76	77	77	380
