	学号		语文	数学	英语	物理	化学	总分
	00000001	73	75	75	79	76	378
	00000002	80	83	78	79	77	397
	00000003	76	70	74	79	75	374
	00000004	77	81	75	76	75	384
	00000005	72	78	77	77	78	382
	00000006	78	81	72	79	77	387
	00000007	71	77	78	75	76	377
	00000008	75	85	73	77	78	388
	00000009	71	79	81	80	76	387
	00000010	79	76	78	76	79	388
	00000011	75	79	73	76	76	379
	00000012	75	67	66	83	68	359
	00000013	75	84	76	78	75	388
	00000014	75	75	77	78	76	381
	00000015	77	75	79	76	73	380
	00000016	76	77	76	77	75	381
	00000017	79	76	77	72	80	384
	00000018	75	77	76	79	78	385
	00000019	75	77	84	75	76	387
	00000020	71	72	72	75	82	372
	00000021	81	76	84	75	77	393
	00000022	80	76	72	76	80	384
	00000023	75	78	72	82	72	379
	00000024	69	82	71	82	82	386
	00000025	83	73	80	72	81	389
	00000026	82	81	77	75	68	383
	00000027	76	75	84	75	74	384
	00000028	73	77	77	83	76	386
	00000029	80	71	70	77	73	371
	00000030	77	81	76	81	80	395
	00000031	72	77	75	76	76	376
	00000032	79	74	76	84	77	390
	00000033	73	70	74	81	69	367
	00000034	72	75	69	76	84	376
	00000035	82	72	76	69	75	374
	00000036	75	74	78	72	80	379
	00000037	82	78	75	78	70	383
	00000038	75	78	78	72	79	382
	00000039	78	79	70	71	75	373
	00000040	75	78	73	70	77	373
	00000041	74	76	78	73	87	388
	00000042	74	77	74	83	84	392
	00000043	82	73	74	80	78	387
	00000044	76	71	77	77	82	383
	00000045	76	82	74	78	80	390
	00000046	83	70	74	79	81	387
	00000047	74	72	72	79	76	373
	00000048	79	79	75	77	73	383
	00000049	77	78	77	77	75	384
	00000050	75	67	66	72	69	349
	00000051	83	84	73	77	79	396
	00000052	77	76	80	76	79	388
	00000053	77	74	75	75	78	379
	00000054	76	72	75	76	77	376
	00000055	79	71	79	79	76	384
	00000056	80	75	78	73	77	383
	00000057	76	75	78	72	73	374
	00000058	75	82	78	79	69	383
	00000059	74	73	78	78	79	382
	00000060	77	74	72	74	76	373
	00000061	77	78	74	79	74	382
	00000062	76	77	75	80	74	382
	00000063	83	79	82	75	76	395
	00000064	67	77	76	79	70	369
	00000065	76	71	80	77	72	376
	00000066	77	77	81	73	78	386
	00000067	80	83	79	72	78	392
	00000068	72	73	78	76	73	372
	00000069	77	79	75	84	78	393
	00000070	80	77	74	87	68	386
	00000071	79	81	71	71	77	379
	00000072	79	78	78	79	73	387
	00000073	80	73	76	80	85	394
	00000074	77	72	75	81	70	375
	00000075	77	71	74	77	77	376
	00000076	76	72	76	76	77	377
	00000077	82	71	73	75	77	378
	00000078	70	71	73	78	78	370
	00000079	73	77	78	75	79	382
	00000080	78	74	72	78	75	377
	00000081	77	75	79	72	76	379
	00000082	77	75	76	77	72	377
	00000083	77	73	70	74	82	376
	00000084	75	72	73	84	76	380
	00000085	77	79	73	76	77	382
	00000086	76	77	82	81	74	390
	00000087	73	86	73	74	80	386
	00000088	71	74	73	83	77	378
	00000089	78	82	80	79	81	400
	00000090	79	70	75	76	77	377
	00000091	76	71	75	78	75	375
	00000092	77	82	81	78	77	395
	00000093	78	76	84	83	79	400
	00000094	80	76	76	75	73	380
	00000095	76	77	72	77	70	372
	00000096	77	81	84	72	77	391
	00000097	66	72	72	71	83	364
	00000098	79	81	77	80	71	388
	00000099	77	78	78	79	82	394
	00000100	73	77	76	76	75	377
	00000101	77	75	77	76	79	384
	00000102	75	74	79	77	73	378
	00000103	83	73	71	77	77	381
	00000104	76	72	79	70	79	376
	00000105	82	78	73	71	70	374
	00000106	75	77	74	72	77	375
	00000107	76	77	81	76	77	387
	00000108	76	78	88	75	76	393
	00000109	77	74	83	74	72	380
	00000110	76	76	74	80	76	382
	00000111	73	76	74	77	67	367
	00000112	79	73	80	72	75	379
	00000113	71	76	83	78	74	382
	00000114	77	73	69	75	74	368
	00000115	76	72	70	78	87	383
	00000116	69	80	74	78	78	379
	00000117	80	70	70	75	79	374
	00000118	75	75	72	76	76	374
	00000119	78	78	75	68	77	376
	00000120	74	80	77	74	80	385
	00000121	80	72	75	66	77	370
	00000122	82	73	74	75	86	390
	00000123	83	81	76	78	75	393
	00000124	82	80	68	80	78	388
	00000125	77	75	75	79	74	380
	00000126	76	70	77	79	76	378
	00000127	69	78	77	80	89	393
	00000128	78	76	77	60	74	365
	00000129	76	74	81	72	81	384
	00000130	75	82	76	77	85	395
	00000131	77	70	76	69	77	369
	00000132	78	77	73	81	76	385
	00000133	82	83	83	76	76	400
	00000134	78	73	75	76	71	373
	00000135	75	75	78	75	74	377
	00000136	85	79	73	74	78	389
	00000137	75	72	64	72	84	367
	00000138	74	62	75	77	76	364
	00000139	76	72	79	74	76	377
	00000140	77	74	74	79	74	378
	00000141	76	82	81	79	80	398
	00000142	64	76	70	77	81	368
	00000143	83	72	81	83	76	395
	00000144	76	77	80	76	77	386
	00000145	66	76	81	77	77	377
	00000146	74	79	74	75	72	374
	00000147	77	75	76	73	82	383
	00000148	77	79	77	79	78	390
	00000149	76	76	78	80	79	389
	00000150	81	71	73	79	80	384
	00000151	79	82	76	81	72	390
	00000152	81	75	77	77	69	379
	00000153	77	74	78	76	76	381
	00000154	78	76	73	81	77	385
	00000155	68	76	78	78	72	372
	00000156	77	71	75	80	74	377
	00000157	72	75	75	80	79	381
	00000158	75	82	74	75	79	385
	00000159	78	79	76	75	79	387
	00000160	83	73	73	79	79	387
	00000161	83	78	81	77	79	398
	00000162	81	75	75	83	75	389
	00000163	82	74	80	74	70	380
	00000164	73	78	74	77	81	383
	00000165	79	78	74	75	76	382
	00000166	76	86	76	88	76	402
	00000167	74	75	75	81	79	384
	00000168	72	80	76	81	72	381
	00000169	75	79	77	79	79	389
	00000170	80	80	73	78	76	387
	00000171	76	79	76	79	80	390
	00000172	89	75	81	76	79	400
	00000173	78	75	81	78	67	379
	00000174	78	78	75	81	77	389
	00000175	79	77	80	83	79	398
	00000176	80	75	75	83	69	382
	00000177	72	78	81	67	76	374
	00000178	77	78	80	78	77	390
	00000179	72	75	76	71	77	371
