	学号		语文	数学	英语	物理	化学	总分
	00000001	75	81	77	78	81	392
	00000002	80	85	71	73	74	383
	00000003	80	76	77	74	81	388
	00000004	76	78	76	79	76	385
	00000005	76	85	90	76	72	399
	00000006	82	78	74	78	73	385
	00000007	73	78	79	75	77	382
	00000008	78	73	78	81	76	386
	00000009	77	77	75	74	78	381
	00000010	79	73	76	77	81	386
	00000011	75	69	67	65	81	357
	00000012	81	75	76	76	76	384
	00000013	78	79	74	75	78	384
	00000014	81	76	77	76	80	390
	00000015	74	75	80	75	75	379
	00000016	77	76	80	77	74	384
	00000017	77	74	75	86	76	388
	00000018	82	77	76	71	72	378
	00000019	82	80	77	71	77	387
	00000020	77	74	77	83	74	385
	00000021	78	77	76	76	79	386
	00000022	84	79	77	74	80	394
	00000023	78	77	78	79	77	389
	00000024	85	70	77	74	77	383
	00000025	80	79	71	78	87	395
	00000026	79	75	71	83	77	385
	00000027	80	74	79	74	74	381
	00000028	83	76	81	72	74	386
	00000029	73	79	84	70	85	391
	00000030	77	69	67	78	77	368
	00000031	76	78	71	78	74	377
	00000032	73	70	77	85	73	378
	00000033	69	83	80	84	77	393
	00000034	83	76	77	74	76	386
	00000035	77	76	77	74	75	379
	00000036	73	79	74	81	81	388
	00000037	77	78	73	69	85	382
	00000038	79	74	83	76	77	389
	00000039	75	81	76	73	79	384
	00000040	79	77	82	77	77	392
	00000041	79	74	82	81	72	388
	00000042	75	75	74	71	74	369
	00000043	76	72	79	73	76	376
	00000044	75	73	75	76	89	388
	00000045	75	82	75	72	72	376
	00000046	75	72	75	75	77	374
	00000047	72	94	85	77	80	408
	00000048	74	83	76	76	77	386
	00000049	74	77	77	80	75	383
	00000050	80	79	75	69	81	384
	00000051	77	77	73	76	74	377
	00000052	74	77	79	78	72	380
	00000053	77	74	78	78	76	383
	00000054	72	73	76	77	78	376
	00000055	79	79	70	81	75	384
	00000056	81	72	83	78	78	392
	00000057	80	81	74	76	76	387
	00000058	75	77	74	83	83	392
	00000059	80	72	80	76	70	378
	00000060	75	69	76	80	68	368
	00000061	70	87	76	77	78	388
	00000062	75	79	73	77	78	382
	00000063	78	80	82	80	76	396
	00000064	78	77	76	77	62	370
	00000065	66	81	77	74	83	381
	00000066	77	75	70	74	78	374
	00000067	77	74	75	73	75	374
	00000068	76	73	78	78	75	380
	00000069	77	75	83	72	81	388
	00000070	73	79	83	79	76	390
	00000071	76	78	78	72	72	376
	00000072	76	74	79	75	78	382
	00000073	86	78	77	84	76	401
	00000074	81	80	76	77	76	390
	00000075	81	78	75	84	79	397
	00000076	71	77	75	76	72	371
	00000077	78	78	77	76	76	385
	00000078	79	76	76	76	81	388
	00000079	79	75	78	80	75	387
	00000080	80	76	78	87	74	395
	00000081	67	69	75	79	73	363
	00000082	65	80	77	79	73	374
	00000083	78	75	76	68	72	369
	00000084	76	72	75	74	76	373
	00000085	84	78	78	71	76	387
	00000086	77	82	72	78	84	393
	00000087	78	78	76	79	76	387
	00000088	78	77	77	80	77	389
	00000089	80	75	80	78	76	389
	00000090	86	76	77	76	75	390
	00000091	79	71	83	76	78	387
	00000092	71	76	68	85	77	377
	00000093	77	74	72	67	79	369
	00000094	74	83	82	76	78	393
	00000095	77	75	79	73	76	380
	00000096	77	75	83	70	77	382
	00000097	75	78	75	83	72	383
	00000098	77	72	82	72	74	377
	00000099	73	78	71	75	78	375
	00000100	81	73	78	75	77	384
	00000101	76	68	79	71	83	377
