	学号		语文	数学	英语	物理	化学	总分
	00000001	75	76	79	80	77	387
	00000002	76	76	76	81	78	387
	00000003	75	78	72	83	82	390
	00000004	79	75	81	74	80	389
	00000005	81	72	80	75	81	389
	00000006	78	79	70	68	81	376
	00000007	78	79	76	80	72	385
	00000008	71	75	77	81	78	382
	00000009	75	77	83	78	79	392
	00000010	76	74	77	73	82	382
	00000011	74	80	81	74	72	381
	00000012	76	80	70	78	76	380
	00000013	76	83	76	76	79	390
	00000014	74	76	75	79	78	382
	00000015	78	77	76	78	78	387
	00000016	74	76	74	81	82	387
	00000017	73	76	78	69	71	367
	00000018	78	77	77	78	81	391
	00000019	76	62	76	79	75	368
	00000020	76	77	71	81	70	375
	00000021	74	80	76	84	75	389
	00000022	73	83	82	77	76	391
	00000023	75	76	82	82	84	399
	00000024	76	66	79	81	76	378
	00000025	79	77	68	69	76	369
	00000026	74	74	76	80	74	378
	00000027	76	80	77	76	76	385
	00000028	74	76	77	79	74	380
	00000029	75	69	77	75	71	367
	00000030	71	78	73	74	77	373
	00000031	80	75	79	75	76	385
	00000032	79	74	74	77	76	380
	00000033	74	75	76	76	81	382
	00000034	80	79	75	74	75	383
	00000035	74	77	77	75	81	384
	00000036	76	79	84	73	72	384
	00000037	76	76	79	81	77	389
	00000038	68	79	72	83	79	381
	00000039	75	75	75	75	79	379
	00000040	73	79	72	79	75	378
	00000041	78	80	80	75	76	389
	00000042	75	77	77	74	81	384
	00000043	77	78	76	79	73	383
	00000044	76	78	78	86	78	396
	00000045	72	78	74	69	66	359
	00000046	77	75	75	77	77	381
	00000047	79	85	75	82	75	396
	00000048	69	71	75	73	75	363
	00000049	76	77	80	70	79	382
	00000050	61	77	78	79	74	369
	00000051	78	79	74	70	83	384
	00000052	83	79	76	80	73	391
	00000053	78	79	77	74	74	382
	00000054	69	77	71	79	77	373
	00000055	74	81	76	73	74	378
	00000056	77	70	77	80	80	384
	00000057	76	74	79	70	76	375
	00000058	83	69	75	70	76	373
	00000059	74	80	79	74	78	385
	00000060	82	75	74	70	74	375
	00000061	67	82	76	73	71	369
	00000062	71	74	78	69	77	369
	00000063	76	79	74	77	75	381
	00000064	78	79	79	81	79	396
	00000065	80	76	79	78	77	390
	00000066	81	75	76	78	72	382
