	学号		语文	数学	英语	物理	化学	总分
	00000001	76	78	81	75	68	378
	00000002	76	73	78	75	76	378
	00000003	75	77	76	85	78	391
	00000004	75	78	82	85	80	400
	00000005	76	79	85	80	67	387
	00000006	77	76	77	78	79	387
	00000007	77	79	77	73	76	382
	00000008	78	79	73	73	84	387
	00000009	79	79	84	75	79	396
	00000010	77	73	71	78	74	373
	00000011	76	70	79	74	77	376
	00000012	75	80	79	78	73	385
	00000013	79	76	77	74	74	380
	00000014	74	73	72	76	75	370
	00000015	75	83	69	74	77	378
	00000016	74	76	81	78	79	388
	00000017	84	76	80	80	78	398
	00000018	80	79	79	77	74	389
	00000019	70	77	77	86	76	386
	00000020	78	80	83	75	77	393
	00000021	71	75	78	74	83	381
	00000022	73	74	76	80	83	386
	00000023	77	74	79	70	71	371
	00000024	68	75	77	78	76	374
	00000025	75	85	72	75	81	388
	00000026	79	84	77	77	80	397
	00000027	83	72	82	78	81	396
	00000028	73	83	75	83	79	393
	00000029	75	78	73	78	77	381
	00000030	77	77	82	80	77	393
	00000031	77	78	78	79	76	388
	00000032	70	82	74	66	77	369
	00000033	74	95	68	71	75	383
	00000034	76	77	79	79	72	383
	00000035	78	75	82	80	74	389
	00000036	74	76	75	80	77	382
	00000037	79	80	77	78	74	388
	00000038	77	77	78	74	75	381
	00000039	97	72	82	80	75	406
	00000040	76	77	73	74	74	374
	00000041	72	76	78	76	86	388
	00000042	76	88	75	77	82	398
	00000043	81	78	77	83	72	391
	00000044	69	72	75	75	75	366
	00000045	77	74	82	75	83	391
	00000046	79	73	78	76	80	386
	00000047	76	70	81	78	77	382
	00000048	69	77	80	79	82	387
	00000049	79	77	70	75	69	370
	00000050	80	81	75	74	77	387
	00000051	70	77	77	77	76	377
	00000052	74	79	77	76	81	387
	00000053	75	73	68	78	74	368
	00000054	80	78	82	68	76	384
	00000055	80	71	72	74	76	373
	00000056	77	80	89	74	75	395
	00000057	81	66	78	82	80	387
	00000058	79	80	70	67	80	376
	00000059	73	67	78	82	74	374
	00000060	77	73	77	77	69	373
	00000061	79	76	74	74	79	382
	00000062	77	78	73	73	69	370
	00000063	79	79	70	80	81	389
	00000064	78	76	72	75	77	378
	00000065	82	80	74	73	76	385
	00000066	72	73	69	76	85	375
	00000067	71	81	75	77	76	380
	00000068	81	79	75	81	68	384
	00000069	75	78	77	78	85	393
	00000070	75	80	67	75	78	375
	00000071	76	79	75	79	79	388
	00000072	74	71	75	73	75	368
	00000073	81	74	65	74	77	371
	00000074	74	76	78	73	77	378
	00000075	72	76	74	83	80	385
	00000076	84	77	78	76	72	387
	00000077	85	77	73	77	78	390
	00000078	78	71	77	69	76	371
	00000079	76	77	78	80	77	388
	00000080	80	79	76	68	73	376
	00000081	76	81	84	78	78	397
	00000082	78	76	76	77	76	383
	00000083	76	84	79	77	74	390
	00000084	74	72	75	79	71	371
	00000085	78	75	71	77	69	370
	00000086	86	78	74	79	78	395
	00000087	68	82	76	78	66	370
	00000088	77	79	74	83	75	388
	00000089	76	74	77	76	76	379
	00000090	77	78	76	83	76	390
	00000091	76	82	63	74	77	372
	00000092	76	81	79	75	77	388
	00000093	77	77	76	76	69	375
	00000094	77	76	71	78	76	378
	00000095	83	76	72	84	77	392
	00000096	78	74	79	78	75	384
	00000097	76	80	77	85	75	393
	00000098	71	84	79	75	74	383
	00000099	76	77	79	84	81	397
	00000100	73	73	73	77	77	373
	00000101	75	75	84	73	79	386
	00000102	70	74	77	78	88	387
	00000103	76	75	73	73	80	377
	00000104	70	77	79	78	79	383
	00000105	82	75	75	76	79	387
	00000106	79	77	76	74	77	383
	00000107	75	76	74	80	74	379
	00000108	76	69	76	76	78	375
	00000109	78	79	78	79	72	386
	00000110	85	75	70	75	83	388
	00000111	75	70	80	72	75	372
	00000112	76	76	76	83	80	391
	00000113	78	78	72	84	79	391
	00000114	79	80	80	70	77	386
	00000115	78	76	81	76	73	384
	00000116	84	78	77	77	67	383
	00000117	79	74	72	76	75	376
	00000118	77	73	85	70	76	381
	00000119	76	79	78	80	80	393
	00000120	86	75	77	72	78	388
	00000121	79	79	78	84	72	392
	00000122	83	77	74	72	76	382
	00000123	78	70	79	83	72	382
	00000124	84	77	73	73	85	392
	00000125	81	74	84	84	77	400
	00000126	72	74	73	76	76	371
	00000127	76	74	74	71	77	372
	00000128	80	80	78	77	75	390
	00000129	76	80	77	68	79	380
	00000130	77	83	81	75	62	378
	00000131	76	77	76	77	77	383
	00000132	79	72	75	76	80	382
	00000133	80	76	78	69	72	375
	00000134	78	73	72	75	74	372
	00000135	82	75	78	69	75	379
	00000136	83	76	73	72	84	388
	00000137	72	81	77	78	77	385
	00000138	83	82	79	74	74	392
	00000139	75	67	76	76	85	379
